#TYPE Selected.System.Management.Automation.PSCustomObject
"MD5Hash","Name","Extension","FullName","DirectoryName","CreationTime","LastWriteTime","MarkToDelete"
"0450A13FC1E19587B012A09ECD5070C7","All-Duplicate-Files-TD.csv",".csv","E:\Einzelprojekte\Powershell\FindDuplicateFiles\Neuer Ordner (2)\All-Duplicate-Files-TD.csv","E:\Einzelprojekte\Powershell\FindDuplicateFiles\Neuer Ordner (2)","03.04.2021 09:10:38","02.04.2021 23:06:09","False"
"0450A13FC1E19587B012A09ECD5070C7","All-Duplicate-Files-TD.csv",".csv","E:\Einzelprojekte\Powershell\FindDuplicateFiles\Neuer Ordner\All-Duplicate-Files-TD.csv","E:\Einzelprojekte\Powershell\FindDuplicateFiles\Neuer Ordner","02.04.2021 21:41:42","02.04.2021 23:06:09","True"
"77110A43AEFC4216D8D821BBC6AB8794","Skeleton_Neuer_Skript.ps1",".ps1","E:\Einzelprojekte\Powershell\FindDuplicateFiles\Neuer Ordner\Skeleton_Neuer_Skript.ps1","E:\Einzelprojekte\Powershell\FindDuplicateFiles\Neuer Ordner","26.03.2021 11:19:19","31.01.2021 17:00:14","False"
"77110A43AEFC4216D8D821BBC6AB8794","Skeleton_Neuer_Skript.ps1",".ps1","E:\Einzelprojekte\Powershell\FindDuplicateFiles\Neuer Ordner (2)\Skeleton_Neuer_Skript.ps1","E:\Einzelprojekte\Powershell\FindDuplicateFiles\Neuer Ordner (2)","26.03.2021 11:19:17","31.01.2021 17:00:14","True"
"77110A43AEFC4216D8D821BBC6AB8794","Skeleton_Neuer_Skript - Kopie.ps1",".ps1","E:\Einzelprojekte\Powershell\FindDuplicateFiles\Neuer Ordner (2)\Skeleton_Neuer_Skript - Kopie.ps1","E:\Einzelprojekte\Powershell\FindDuplicateFiles\Neuer Ordner (2)","03.04.2021 09:10:38","31.01.2021 17:00:14","True"
"77110A43AEFC4216D8D821BBC6AB8794","Skeleton_Neuer_Skript - Kopie.ps1",".ps1","E:\Einzelprojekte\Powershell\FindDuplicateFiles\Neuer Ordner\Skeleton_Neuer_Skript - Kopie.ps1","E:\Einzelprojekte\Powershell\FindDuplicateFiles\Neuer Ordner","03.04.2021 09:09:43","31.01.2021 17:00:14","True"
"C5898DD44A1FEF6551E815B6BBDD73B0","temp.txt",".txt","E:\Einzelprojekte\Powershell\FindDuplicateFiles\Neuer Ordner\temp.txt","E:\Einzelprojekte\Powershell\FindDuplicateFiles\Neuer Ordner","29.03.2021 21:05:41","29.03.2021 21:05:41","False"
"C5898DD44A1FEF6551E815B6BBDD73B0","temp.txt",".txt","E:\Einzelprojekte\Powershell\FindDuplicateFiles\Neuer Ordner (2)\temp.txt","E:\Einzelprojekte\Powershell\FindDuplicateFiles\Neuer Ordner (2)","03.04.2021 09:10:38","29.03.2021 21:05:41","True"
"5175CF9360C8FF7A2C93ECE58D7D4C51","Vitaly-Avatar-500kb.jpg",".jpg","E:\Einzelprojekte\Powershell\FindDuplicateFiles\Neuer Ordner\Vitaly-Avatar-500kb.jpg","E:\Einzelprojekte\Powershell\FindDuplicateFiles\Neuer Ordner","29.03.2021 22:12:15","10.01.2021 14:52:21","False"
"5175CF9360C8FF7A2C93ECE58D7D4C51","Vitaly-Avatar-500kbaa.jpg",".jpg","E:\Einzelprojekte\Powershell\FindDuplicateFiles\Neuer Ordner (2)\Vitaly-Avatar-500kbaa.jpg","E:\Einzelprojekte\Powershell\FindDuplicateFiles\Neuer Ordner (2)","03.04.2021 09:10:38","10.01.2021 14:52:21","True"
"FF6AA28C7A85C6A430798150DE819DAA","Verzeichnisse-Vergleichen.ps1",".ps1","E:\Einzelprojekte\Powershell\FindDuplicateFiles\Neuer Ordner (2)\Verzeichnisse-Vergleichen.ps1","E:\Einzelprojekte\Powershell\FindDuplicateFiles\Neuer Ordner (2)","26.03.2021 11:19:24","18.07.2020 17:37:01","False"
"FF6AA28C7A85C6A430798150DE819DAA","Verzeichnisse-Vergleichen - Kopie.ps1",".ps1","E:\Einzelprojekte\Powershell\FindDuplicateFiles\Neuer Ordner (2)\Verzeichnisse-Vergleichen - Kopie.ps1","E:\Einzelprojekte\Powershell\FindDuplicateFiles\Neuer Ordner (2)","03.04.2021 09:09:01","18.07.2020 17:37:01","True"
