#TYPE Selected.System.Management.Automation.PSCustomObject
"MD5Hash","Name","Extension","FullName","DirectoryName","CreationTime","LastWriteTime","MarkToDelete"
"8AA3CEE7BFC63F4C2533C952138F00BF","ObjectTypes.PROJECT.Her1500_AnalogInput_V2_JS-Set_AlarmText.js",".js","E:\Hermes\__Austausch_Tools\atvise\1200eru1500er_Objekte\ObjectTypes.PROJECT.Her1500_AnalogInput_V2_JS-Set_AlarmText.js","E:\Hermes\__Austausch_Tools\atvise\1200eru1500er_Objekte","18.07.2020 17:37:03","18.07.2020 17:37:03","False"
"8AA3CEE7BFC63F4C2533C952138F00BF","ObjectTypes.PROJECT.Her1500_AnalogInput_V2_JS-Set_AlarmText.js",".js","E:\Hermes\__Austausch_Tools\atvise\1200eru1500er_Objekte\ObjectTypes.PROJECT.Her1500_AnalogInput_V2\ObjectTypes.PROJECT.Her1500_AnalogInput_V2_JS-Set_AlarmText.js","E:\Hermes\__Austausch_Tools\atvise\1200eru1500er_Objekte\ObjectTypes.PROJECT.Her1500_AnalogInput_V2","18.07.2020 17:37:02","18.07.2020 17:37:02","True"
"10E55934B564042B5ECC0C7CABD06E9A","ObjectTypes.PROJECT.Her1500_HPW_Grund_V1.GrundNaviButton.js",".js","E:\Hermes\__Austausch_Tools\atvise\1200eru1500er_Objekte\ObjectTypes.PROJECT.Her1500_HPW_Grund_V1.GrundNaviButton.js","E:\Hermes\__Austausch_Tools\atvise\1200eru1500er_Objekte","18.07.2020 17:37:02","18.07.2020 17:37:02","False"
"10E55934B564042B5ECC0C7CABD06E9A","ObjectTypes.PROJECT.Her1500_HPW_Grund_V1.GrundNaviButton.js",".js","E:\Hermes\__Austausch_Tools\atvise\1200eru1500er_Objekte\ObjectTypes.PROJECT.Her1500_HPW_Grund_V1\ObjectTypes.PROJECT.Her1500_HPW_Grund_V1.GrundNaviButton.js","E:\Hermes\__Austausch_Tools\atvise\1200eru1500er_Objekte\ObjectTypes.PROJECT.Her1500_HPW_Grund_V1","18.07.2020 17:37:02","18.07.2020 17:37:02","True"
"D8B4393DC4683B715B45808DC1082077","Zahlenumrechnungen - Kopie.js",".js","E:\Hermes\__Austausch_Tools\atvise\Allgemeine Skripte und Beispiele ViRu\Zahlenumrechnungen - Kopie.js","E:\Hermes\__Austausch_Tools\atvise\Allgemeine Skripte und Beispiele ViRu","31.01.2021 17:00:25","31.01.2021 17:00:25","False"
"D8B4393DC4683B715B45808DC1082077","Zahlenumrechnungen.js",".js","E:\Hermes\__Austausch_Tools\atvise\Allgemeine Skripte und Beispiele ViRu\Zahlenumrechnungen.js","E:\Hermes\__Austausch_Tools\atvise\Allgemeine Skripte und Beispiele ViRu","31.01.2021 17:00:14","31.01.2021 17:00:14","True"
"CD229FCB702FCCE4C2F97A60680FA60C","__HERMES.StandardChanged.H_alarmlist-V3.2.js",".js","E:\Hermes\__Austausch_Tools\atvise\Anzeigen\__HERMES.StandardChanged.H_alarmlist-V3.2.js","E:\Hermes\__Austausch_Tools\atvise\Anzeigen","31.01.2021 17:00:14","31.01.2021 17:00:14","False"
"CD229FCB702FCCE4C2F97A60680FA60C","SYSTEM.LIBRARY.PROJECT.OBJECTDISPLAYS.__HERMES.StandardChanged.H_alarmlist.js",".js","E:\Hermes\__Austausch_Tools\atvise\Anzeigen\SYSTEM.LIBRARY.PROJECT.OBJECTDISPLAYS.__HERMES.StandardChanged.H_alarmlist.js","E:\Hermes\__Austausch_Tools\atvise\Anzeigen","31.01.2021 17:00:14","31.01.2021 17:00:14","True"
"4EC74DF45CD61E88DBDCC5F2613CBAB7","ContSaveInArchiv--Exsample-from-videc-checkNodes.xml",".xml","E:\Hermes\__Austausch_Tools\atvise\_Typen_und_Var-Typen\ContSaveInArchiv--Exsample-from-videc-checkNodes.xml","E:\Hermes\__Austausch_Tools\atvise\_Typen_und_Var-Typen","26.03.2021 11:00:14","26.03.2021 11:00:14","False"
"4EC74DF45CD61E88DBDCC5F2613CBAB7","checkNodes.xml",".xml","E:\Hermes\__Austausch_Tools\atvise\Beispiele\Archive continuirlich auslesen\checkNodes.xml","E:\Hermes\__Austausch_Tools\atvise\Beispiele\Archive continuirlich auslesen","26.03.2021 11:00:14","26.03.2021 11:00:14","True"
